[ 2025-08-10 20:32:08,362 ] 18 root - INFO - Initiate the data ingestion
[ 2025-08-10 20:32:10,329 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-08-10 20:32:10,329 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-10 20:32:10,331 ] 74 root - INFO - Exporting train and test file path.
[ 2025-08-10 20:32:10,401 ] 83 root - INFO - Exported train and test file path.
[ 2025-08-10 20:32:10,402 ] 21 root - INFO - Data Ingestion Completed
[ 2025-08-10 20:32:10,427 ] 25 root - INFO - Initiate the data Validation
[ 2025-08-10 20:32:10,483 ] 32 root - INFO - Required number of columns:2
[ 2025-08-10 20:32:10,483 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-10 20:32:10,483 ] 32 root - INFO - Required number of columns:2
[ 2025-08-10 20:32:10,484 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-10 20:32:10,726 ] 28 root - INFO - Data Validation Completed
[ 2025-08-10 20:32:10,726 ] 32 root - INFO - data Transformation started
[ 2025-08-10 20:32:10,726 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-10 20:32:10,726 ] 65 root - INFO - Starting data transformation
[ 2025-08-10 20:32:10,755 ] 48 root - INFO - Entered get_data_transformer_object method of Trnasformation class
[ 2025-08-10 20:32:10,755 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-10 20:32:10,773 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-10 20:32:10,778 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-10 20:32:10,778 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-10 20:32:10,782 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-10 20:32:10,784 ] 36 root - INFO - data Transformation completed
[ 2025-08-10 20:32:10,784 ] 38 root - INFO - Model Training stared
[ 2025-08-10 20:36:28,463 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-10 20:36:28,465 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-10 20:36:28,465 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-10 20:36:28,473 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-10 20:36:28,474 ] 118 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_10_2025_20_32_00\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9904276985743381, precision_score=0.9900244299674267, recall_score=0.9908312958435208), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9793486894360603, precision_score=0.9716312056737588, recall_score=0.9871897518014412))
[ 2025-08-10 20:36:28,475 ] 42 root - INFO - Model Training artifact created
