[ 2025-08-10 20:16:11,017 ] 18 root - INFO - Initiate the data ingestion
[ 2025-08-10 20:16:12,778 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-08-10 20:16:12,779 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-10 20:16:12,779 ] 74 root - INFO - Exporting train and test file path.
[ 2025-08-10 20:16:12,853 ] 83 root - INFO - Exported train and test file path.
[ 2025-08-10 20:16:12,853 ] 21 root - INFO - Data Ingestion Completed
[ 2025-08-10 20:16:12,925 ] 25 root - INFO - Initiate the data Validation
[ 2025-08-10 20:16:12,992 ] 32 root - INFO - Required number of columns:2
[ 2025-08-10 20:16:12,993 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-10 20:16:12,993 ] 32 root - INFO - Required number of columns:2
[ 2025-08-10 20:16:12,994 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-10 20:16:13,172 ] 28 root - INFO - Data Validation Completed
[ 2025-08-10 20:16:13,172 ] 32 root - INFO - data Transformation started
[ 2025-08-10 20:16:13,172 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-10 20:16:13,172 ] 65 root - INFO - Starting data transformation
[ 2025-08-10 20:16:13,197 ] 48 root - INFO - Entered get_data_transformer_object method of Trnasformation class
[ 2025-08-10 20:16:13,197 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-10 20:16:13,216 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-10 20:16:13,219 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-10 20:16:13,219 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-10 20:16:13,224 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-10 20:16:13,225 ] 36 root - INFO - data Transformation completed
[ 2025-08-10 20:16:13,225 ] 38 root - INFO - Model Training stared
[ 2025-08-10 20:19:49,943 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-10 20:19:49,944 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-10 20:19:49,944 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-10 20:19:49,993 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-10 20:19:49,993 ] 118 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_10_2025_20_16_05\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9903777980350451, precision_score=0.9884755357864942, recall_score=0.9922873959813274), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9757085020242915, precision_score=0.9717741935483871, recall_score=0.9796747967479674))
[ 2025-08-10 20:19:49,999 ] 42 root - INFO - Model Training artifact created
